run,setting,agent_variant,question_id,gold_answer,offline_answer,answer_extraction,answer_correct,format_issue,selected_source,source_inconsistency,original_final_prediction,original_correct,original_invalid_output,format_issues,source_consistency_issues
20260721_145822_single_full,single_full,,1,42,42,explicit_final_answer_label,True,True,,False,42,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,2,5,5,explicit_final_answer_label,True,True,,False,5,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,3,16,16,event.answer,True,True,,False,16,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,4,41,184,explicit_final_answer_label,False,True,,False,184,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,5,38,38,event.answer,True,True,,False,38,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,6,5,5,event.answer,True,True,,False,5,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,7,1200,1200,explicit_final_answer_label,True,True,,False,1200,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,8,1920,1920,explicit_final_answer_label,True,True,,False,4,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,9,45,45,event.answer,True,True,,False,45,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,10,840,5,event.answer,False,True,,False,5,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,11,520,520,event.answer,True,True,,False,520,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,12,3,3,event.answer,True,True,,False,3,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,13,28,28,explicit_final_answer_label,True,True,,False,28,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,14,768,768,explicit_final_answer_label,True,True,,False,768,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,15,100,100,event.answer,True,True,,False,100,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,16,700,20200,event.answer,False,True,,False,20200,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,17,35,45,event.answer,False,True,,False,45,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,18,200,200,event.answer,True,True,,False,200,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,19,135,135,explicit_final_answer_label,True,True,,False,135,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,20,43,39,explicit_final_answer_label,False,True,,False,39,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,1,42,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,1,42,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line,
20260721_145822_single_partial,single_partial,A,2,5,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,2,5,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,3,16,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,3,16,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,4,41,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,4,41,29,explicit_final_answer_label,False,True,,False,29,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,5,38,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,5,38,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,6,5,,explicitly_undetermined,False,True,,False,,False,False,more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,6,5,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,7,1200,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,7,1200,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,8,1920,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,8,1920,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,9,45,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,9,45,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,10,840,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,10,840,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,11,520,,explicitly_undetermined,False,True,,False,,False,False,more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,11,520,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,12,3,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,12,3,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,13,28,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,13,28,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,14,768,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,14,768,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line,
20260721_145822_single_partial,single_partial,A,15,100,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line,
20260721_145822_single_partial,single_partial,B,15,100,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,16,700,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,16,700,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line,
20260721_145822_single_partial,single_partial,A,17,35,40,event.answer,False,True,,False,40,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,17,35,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line,
20260721_145822_single_partial,single_partial,A,18,200,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,18,200,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,19,135,,explicitly_undetermined,False,True,,False,,False,False,more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,19,135,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,20,43,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,20,43,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_172014_multi_partial,multi_partial,,1,42,42,explicit_final_answer_label,True,True,recomputed,False,,False,True,computed_used_instead_of_recomputed,
20260721_172014_multi_partial,multi_partial,,2,5,50,explicit_final_answer_label,False,False,recomputed,False,50,False,False,,
20260721_172014_multi_partial,multi_partial,,3,16,6,explicit_final_answer_label,False,False,recomputed,False,6,False,False,,
20260721_172014_multi_partial,multi_partial,,4,41,86,explicit_final_answer_label,False,True,recomputed,False,,False,True,computed_used_instead_of_recomputed,
20260721_172014_multi_partial,multi_partial,,5,38,31,explicit_final_answer_label,False,False,recomputed,False,31,False,False,,
20260721_172014_multi_partial,multi_partial,,6,5,15,explicit_final_answer_label,False,False,recomputed,False,15,False,False,,
20260721_172014_multi_partial,multi_partial,,7,1200,8,explicit_final_answer_label,False,False,recomputed,False,8,False,False,,
20260721_172014_multi_partial,multi_partial,,8,1920,720,explicit_final_answer_label,False,False,recomputed,False,720,False,False,,
20260721_172014_multi_partial,multi_partial,,9,45,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial,multi_partial,,10,840,600,explicit_final_answer_label,False,False,recomputed,False,600,False,False,,
20260721_172014_multi_partial,multi_partial,,11,520,390,explicit_final_answer_label,False,False,recomputed,False,390,False,False,,
20260721_172014_multi_partial,multi_partial,,12,3,4,explicit_final_answer_label,False,False,recomputed,False,4,False,False,,
20260721_172014_multi_partial,multi_partial,,13,28,18,explicit_final_answer_label,False,False,recomputed,False,18,False,False,,
20260721_172014_multi_partial,multi_partial,,14,768,414,explicit_final_answer_label,False,False,recomputed,False,414,False,False,,
20260721_172014_multi_partial,multi_partial,,15,100,60,explicit_final_answer_label,False,False,recomputed,False,60,False,False,,
20260721_172014_multi_partial,multi_partial,,16,700,300,explicit_final_answer_label,False,False,recomputed,False,300,False,False,,
20260721_172014_multi_partial,multi_partial,,17,35,40,explicit_final_answer_label,False,False,recomputed,False,40,False,False,,
20260721_172014_multi_partial,multi_partial,,18,200,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial,multi_partial,,19,135,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial,multi_partial,,20,43,35,explicit_final_answer_label,False,False,recomputed,False,35,False,False,,
20260721_172014_multi_partial_verifier,multi_partial_verifier,,1,42,42,explicit_final_answer_label,True,True,recomputed,False,,False,True,computed_used_instead_of_recomputed,
20260721_172014_multi_partial_verifier,multi_partial_verifier,,2,5,50,explicit_final_answer_label,False,False,recomputed,False,50,False,False,,
20260721_172014_multi_partial_verifier,multi_partial_verifier,,3,16,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,4,41,,explicitly_undetermined,False,True,,True,,False,True,finalizer_not_three_labeled_lines;finalizer_physical_line_count_not_three,selected_source_missing
20260721_172014_multi_partial_verifier,multi_partial_verifier,,5,38,31,explicit_final_answer_label,False,False,solver_a,True,31,False,True,,selected_source_solver_a_unavailable
20260721_172014_multi_partial_verifier,multi_partial_verifier,,6,5,,explicitly_undetermined,False,True,recomputed,True,,False,True,computed_used_instead_of_recomputed,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,7,1200,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,8,1920,720,explicit_final_answer_label,False,False,recomputed,False,720,False,False,,
20260721_172014_multi_partial_verifier,multi_partial_verifier,,9,45,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,10,840,,explicitly_undetermined,False,True,recomputed,True,,False,True,computed_used_instead_of_recomputed,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,11,520,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,12,3,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,13,28,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,14,768,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,15,100,60,explicit_final_answer_label,False,False,recomputed,False,60,False,False,,
20260721_172014_multi_partial_verifier,multi_partial_verifier,,16,700,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,17,35,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,18,200,,explicitly_undetermined,False,False,none,False,,False,False,,
20260721_172014_multi_partial_verifier,multi_partial_verifier,,19,135,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_multi_partial_verifier,multi_partial_verifier,,20,43,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_oracle_broadcast,oracle_broadcast,,1,42,42,explicit_final_answer_label,True,True,recomputed,False,,False,True,computed_used_instead_of_recomputed,
20260721_172014_oracle_broadcast,oracle_broadcast,,2,5,55,explicit_final_answer_label,False,False,solver_a,False,55,False,False,,
20260721_172014_oracle_broadcast,oracle_broadcast,,3,16,16,explicit_final_answer_label,True,False,recomputed,False,16,True,False,,
20260721_172014_oracle_broadcast,oracle_broadcast,,4,41,47,explicit_final_answer_label,False,False,solver_a,True,47,False,True,,selected_source_solver_a_unavailable
20260721_172014_oracle_broadcast,oracle_broadcast,,5,38,38,explicit_final_answer_label,True,False,solver_a,False,38,True,False,,
20260721_172014_oracle_broadcast,oracle_broadcast,,6,5,13.75,explicit_final_answer_label,False,False,solver_a,False,13.75,False,False,,
20260721_172014_oracle_broadcast,oracle_broadcast,,7,1200,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_oracle_broadcast,oracle_broadcast,,8,1920,1920,explicit_final_answer_label,True,True,recomputed,False,,False,True,computed_used_instead_of_recomputed,
20260721_172014_oracle_broadcast,oracle_broadcast,,9,45,60,explicit_final_answer_label,False,False,solver_b,False,60,False,False,,
20260721_172014_oracle_broadcast,oracle_broadcast,,10,840,,explicitly_undetermined,False,False,recomputed,True,,False,True,,recomputed_without_numeric_answer
20260721_172014_oracle_broadcast,oracle_broadcast,,11,520,520,explicit_final_answer_label,True,True,recomputed,False,,False,True,computed_used_instead_of_recomputed,
20260721_172014_oracle_broadcast,oracle_broadcast,,12,3,3,explicit_final_answer_label,True,False,solver_a,True,3,False,True,,selected_source_solver_a_unavailable
20260721_172014_oracle_broadcast,oracle_broadcast,,13,28,20,explicit_final_answer_label,False,False,solver_b,False,20,False,False,,
20260721_172014_oracle_broadcast,oracle_broadcast,,14,768,768,explicit_final_answer_label,True,False,solver_a,True,768,False,True,,selected_source_solver_a_unavailable
20260721_172014_oracle_broadcast,oracle_broadcast,,15,100,100,explicit_final_answer_label,True,False,solver_a,False,100,True,False,,
20260721_172014_oracle_broadcast,oracle_broadcast,,16,700,,explicitly_undetermined,False,False,solver_a,True,,False,True,,selected_source_solver_a_unavailable
20260721_172014_oracle_broadcast,oracle_broadcast,,17,35,35,explicit_final_answer_label,True,True,recomputed,False,,False,True,finalizer_physical_line_count_not_three,
20260721_172014_oracle_broadcast,oracle_broadcast,,18,200,200,explicit_final_answer_label,True,True,recomputed,False,,False,True,computed_used_instead_of_recomputed,
20260721_172014_oracle_broadcast,oracle_broadcast,,19,135,45,explicit_final_answer_label,False,False,recomputed,False,45,False,False,,
20260721_172014_oracle_broadcast,oracle_broadcast,,20,43,18,explicit_final_answer_label,False,False,solver_b,True,18,False,True,,selected_source_solver_b_unavailable
